Start Date,End Date,Response Type,IP Address,Distribution Channel,User Language,You are going to answer questions related to this brand:,Please consider only your negative views about Walmart and ignore your positive views. How negative is your attitude about Walmart? - 1,Please consider only your positive views about Walmart and ignore your negative views. How positive is your attitude about Walmart? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Walmart: - 1,Please describe your feelings toward Walmart - 1,How likely are you to discuss Walmart on your Facebook page? - 1,How likely are you to discuss brand Walmart Anonymously on a public forum? - 1,How likely are you to discuss brand Walmart Identified on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss Walmart on your Facebook page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Walmart Anonymously on a public forum:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Walmart Identified on a public forum: ""They will ..."" - 1",You are going to answer questions related to this brand:,Please consider only your negative views about Samsung and ignore your positive views. How negative is your attitude about Samsung? - 1,Please consider only your positive views about Samsung and ignore your negative views. How positive is your attitude about Samsung? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Samsung: - 1,Please describe your feelings toward Samsung - 1,How likely are you to discuss Samsung on your Facebook page? - 1,How likely are you to discuss Samsung Anonymously on a public forum? - 1,How likely are you to discuss brand Samsung Identified on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss Samsung on your Facebook page:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Samsung Anonymously on a public forum:
 ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Samsung Identified on a public forum: ""They will ..."" - 1",You are going to answer questions related to this brand:,Please consider only your negative views about Nike and ignore your positive views. How negative is your attitude about Nike? - 1,Please consider only your positive views about Nike and ignore your negative views. How positive is your attitude about Nike? - 1,Please indicate your attitude towards Walmart: - 1,Please describe how you feel toward Nike: - 1,Please describe your feelings toward Nike: - 1,How likely are you to discuss brand Nike Identified on a public forum? - 1,How likely are you to discuss brand Nike on your Facebook page? - 1,How likely are you to discuss brand Nike Anonymously on a public forum? - 1,"Please predict the reaction of the most important people in your life, if you discuss Nike Identified on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Nike Anonymously on a public forum: ""They will ..."" - 1","Please predict the reaction of the most important people in your life, if you discuss Nike on your Facebook page: ""They will ..."" - 1"
3/15/20 9:02,3/15/20 9:04,0,212.56.134.116,anonymous,FR,4,1,5,5,1,3,4,4,4,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:02,3/15/20 9:04,0,68.134.60.150,anonymous,FR,,,,,,,,,,,,,4,1,4,9,9,2,3,3,3,3,3,3,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:04,0,208.87.236.201,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,2,2,1,1,1,4,4,4
3/15/20 9:03,3/15/20 9:04,0,68.101.149.23,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,2,4,4,4,4
3/15/20 9:03,3/15/20 9:04,0,106.197.176.152,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,3,3,5,5,5,5,4,5
3/15/20 9:02,3/15/20 9:05,0,103.219.206.210,anonymous,FR,4,1,4,4,1,1,5,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:05,0,107.193.102.32,anonymous,FR,,,,,,,,,,,,,4,1,4,9,1,2,1,2,2,3,3,3,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:05,0,69.157.229.101,anonymous,FR,,,,,,,,,,,,,4,1,2,9,9,2,1,1,1,3,3,3,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:05,0,75.165.9.27,anonymous,FR,4,2,3,4,2,3,2,2,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:05,0,117.216.33.150,anonymous,FR,,,,,,,,,,,,,4,3,4,10,11,4,3,4,3,4,4,3,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:05,0,75.131.9.255,anonymous,FR,,,,,,,,,,,,,4,1,4,9,1,1,1,1,1,3,3,3,,,,,,,,,,,,
3/15/20 9:02,3/15/20 9:06,0,5.224.117.75,anonymous,FR,4,1,4,5,1,1,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:01,3/15/20 9:06,0,71.197.29.222,anonymous,FR,4,2,3,4,4,3,2,1,1,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:04,3/15/20 9:06,0,77.32.96.17,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,3,2,1,1,1,3,3,3
3/15/20 9:04,3/15/20 9:06,0,186.204.73.215,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,1,2,3,3,4,4,4,4
3/15/20 9:05,3/15/20 9:06,0,117.216.33.164,anonymous,FR,,,,,,,,,,,,,4,3,4,10,11,3,3,4,3,3,4,4,,,,,,,,,,,,
3/15/20 9:04,3/15/20 9:06,0,73.130.48.134,anonymous,FR,,,,,,,,,,,,,,1,5,1,9,1,3,3,4,4,3,4,,,,,,,,,,,,
3/15/20 9:04,3/15/20 9:06,0,115.186.187.237,anonymous,FR,4,2,4,2,4,2,1,2,2,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:04,3/15/20 9:07,0,70.187.34.49,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,1,1,1,3,3,3,4,3,4
3/15/20 9:04,3/15/20 9:07,0,157.51.82.252,anonymous,FR,,,,,,,,,,,,,4,2,4,11,10,4,2,2,2,3,3,3,,,,,,,,,,,,
3/15/20 9:06,3/15/20 9:07,0,49.207.141.223,anonymous,FR,4,4,3,4,5,2,3,4,3,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:03,3/15/20 9:07,0,76.118.53.239,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,1,1,2,2,2,3,3,
3/15/20 9:03,3/15/20 9:07,0,117.216.33.164,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,4,2,4,4,5,4,4,4,5
3/15/20 9:06,3/15/20 9:07,0,96.239.71.235,anonymous,FR,,,,,,,,,,,,,4,3,5,11,1,3,3,2,5,3,4,3,,,,,,,,,,,,
3/15/20 9:06,3/15/20 9:07,0,185.247.119.180,anonymous,FR,,2,4,3,3,5,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:05,3/15/20 9:08,0,75.90.109.168,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,4,3,4,2,3,4,4,3
3/15/20 9:04,3/15/20 9:08,0,67.220.17.74,anonymous,FR,4,1,3,1,1,1,1,1,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:06,3/15/20 9:08,0,117.216.33.164,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,2,2,3,5,4,5,4,5,5
3/15/20 9:07,3/15/20 9:08,0,74.111.11.48,anonymous,FR,,4,1,1,1,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:07,3/15/20 9:08,0,68.13.117.217,anonymous,FR,,,,,,,,,,,,,4,1,5,9,1,1,1,1,1,4,4,4,,,,,,,,,,,,
3/15/20 9:06,3/15/20 9:09,0,45.182.176.206,anonymous,FR,,,,,,,,,,,,,,1,4,10,10,3,3,4,4,4,3,4,,,,,,,,,,,,
3/15/20 9:06,3/15/20 9:09,0,99.241.182.203,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,3,3,1,1,3,2,3,3
3/15/20 9:08,3/15/20 9:09,0,67.240.58.210,anonymous,FR,,,,,,,,,,,,,4,1,2,10,9,3,3,2,2,3,3,3,,,,,,,,,,,,
3/15/20 9:01,3/15/20 9:09,0,217.138.195.154,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,5,5,4,5,5,5,4,3
3/15/20 9:05,3/15/20 9:09,0,157.49.251.88,anonymous,FR,,2,4,4,4,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:07,3/15/20 9:09,0,46.12.14.136,anonymous,FR,4,3,4,3,3,4,2,4,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:04,3/15/20 9:09,0,171.61.181.120,anonymous,FR,4,2,3,2,2,2,1,2,2,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:08,3/15/20 9:09,0,173.113.57.51,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,3,1,1,3,3,3,5,5,5
3/15/20 9:02,3/15/20 9:09,0,122.183.165.231,anonymous,FR,,,,,,,,,,,,,4,3,2,10,1,2,4,4,4,4,2,4,,,,,,,,,,,,
3/15/20 9:08,3/15/20 9:09,0,49.207.142.213,anonymous,FR,4,1,5,5,4,4,4,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:08,3/15/20 9:10,0,68.23.216.105,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,4,4,4,3,4,4,3,3
3/15/20 9:08,3/15/20 9:10,0,162.211.39.121,anonymous,FR,,,,,,,,,,,,,4,4,2,11,11,4,1,1,1,3,3,1,,,,,,,,,,,,
3/15/20 9:09,3/15/20 9:10,0,73.148.231.128,anonymous,FR,,,,,,,,,,,,,4,1,4,10,1,1,4,3,4,4,4,4,,,,,,,,,,,,
3/15/20 9:09,3/15/20 9:11,0,75.83.101.210,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,5,1,1,1,1,1,3,3,3,3,3
3/15/20 9:09,3/15/20 9:11,0,181.177.218.26,anonymous,FR,,4,3,2,3,3,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:08,3/15/20 9:11,0,112.196.157.5,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,2,1,1,2,3,4,4,4,4
3/15/20 9:11,3/15/20 9:12,0,69.203.194.200,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,2,1,1,3,3,3,3,3,3
3/15/20 9:03,3/15/20 9:12,0,171.49.186.29,anonymous,FR,4,3,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:11,3/15/20 9:12,0,70.162.25.201,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,5,3,2,1,1,1,3,3,3
3/15/20 9:11,3/15/20 9:13,0,99.161.80.32,anonymous,FR,,,,,,,,,,,,,4,1,4,9,10,2,4,4,4,4,4,4,,,,,,,,,,,,
3/15/20 9:12,3/15/20 9:13,0,76.25.212.163,anonymous,FR,,2,4,3,3,2,1,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:12,3/15/20 9:14,0,68.204.214.125,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,2,2,2,2,2,4,4,3
3/15/20 9:10,3/15/20 9:14,0,71.208.127.174,anonymous,FR,,,,,,,,,,,,,4,1,5,10,1,2,4,4,5,4,4,3,,,,,,,,,,,,
3/15/20 9:07,3/15/20 9:15,0,74.82.60.91,anonymous,FR,4,1,4,2,1,1,3,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:14,3/15/20 9:16,0,117.216.33.164,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,1,1,4,4,4,4,4,4
3/15/20 9:14,3/15/20 9:16,0,174.226.135.208,anonymous,FR,,,,,,,,,,,,,4,1,2,9,9,2,1,1,1,3,3,3,,,,,,,,,,,,
3/15/20 9:16,3/15/20 9:17,0,67.177.180.201,anonymous,FR,4,2,2,4,3,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:15,3/15/20 9:17,0,197.237.24.234,anonymous,FR,4,1,5,1,3,4,5,4,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:17,3/15/20 9:19,0,117.217.212.240,anonymous,FR,,,,,,,,,,,,,4,1,5,10,9,4,5,5,5,5,4,5,,,,,,,,,,,,
3/15/20 9:21,3/15/20 9:22,0,117.216.37.86,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,2,2,2,4,5,5,4,5,4
3/15/20 9:21,3/15/20 9:22,0,199.83.210.131,anonymous,FR,,,,,,,,,,,,,4,1,4,10,10,4,4,4,4,4,4,4,,,,,,,,,,,,
3/15/20 9:18,3/15/20 9:23,0,23.111.188.5,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,1,1,3,4,3,4,5,4,4
3/15/20 9:23,3/15/20 9:24,0,108.213.140.246,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,2,2,2,1,1,1,3,3,3
3/15/20 9:01,3/15/20 9:25,0,207.44.32.7,anonymous,FR,,,,,,,,,,,,,,5,5,10,10,4,1,1,1,3,3,3,,,,,,,,,,,,
3/15/20 9:22,3/15/20 9:26,0,5.62.57.43,anonymous,FR,4,3,3,5,11,3,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:28,3/15/20 9:30,0,117.213.37.104,anonymous,FR,,,,,,,,,,,,,4,4,5,11,12,5,4,5,4,5,4,5,,,,,,,,,,,,
3/15/20 9:32,3/15/20 9:34,0,157.51.195.44,anonymous,FR,4,2,4,2,11,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:36,3/15/20 9:39,0,71.222.150.148,anonymous,FR,,,,,,,,,,,,,,2,3,11,9,4,3,3,4,3,3,4,,,,,,,,,,,,
3/15/20 9:48,3/15/20 9:50,0,71.206.17.211,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,3,3,1,1,1,3,3,3
3/15/20 9:49,3/15/20 9:52,0,103.99.219.123,anonymous,FR,4,2,5,4,9,1,4,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:51,3/15/20 9:53,0,117.217.212.240,anonymous,FR,,,,,,,,,,,,,4,1,4,12,10,4,5,4,3,5,5,5,,,,,,,,,,,,
3/15/20 9:50,3/15/20 9:53,0,117.217.212.240,anonymous,FR,4,1,4,2,11,4,4,5,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 9:54,3/15/20 9:55,0,117.241.213.176,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,4,4,3,4,4,4,4,5,5
3/15/20 9:54,3/15/20 9:55,0,117.241.213.176,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,2,4,4,5,4,4,4,5,4
3/15/20 9:55,3/15/20 9:57,0,117.241.213.176,anonymous,FR,,,,,,,,,,,,,4,1,5,12,10,4,4,4,5,4,4,5,,,,,,,,,,,,
3/15/20 9:56,3/15/20 9:57,0,117.217.212.240,anonymous,FR,4,3,4,4,10,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 10:05,3/15/20 10:08,0,136.234.105.218,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,4,4,4,1,1,1,3,3,3
3/15/20 9:55,3/15/20 10:11,0,117.216.37.86,anonymous,FR,,,,,,,,,,,,,4,4,4,11,11,5,4,5,4,3,4,5,,,,,,,,,,,,
3/15/20 9:58,3/15/20 10:14,0,117.241.213.176,anonymous,FR,4,5,4,4,11,5,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 10:24,3/15/20 10:25,0,150.136.165.234,anonymous,FR,,,,,,,,,,,,,4,5,4,10,11,4,5,4,5,4,5,4,,,,,,,,,,,,
3/15/20 10:39,3/15/20 10:40,0,132.145.171.135,anonymous,FR,4,5,4,4,10,5,5,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,
3/15/20 11:21,3/15/20 11:41,0,157.51.236.227,anonymous,FR,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,2,5,5,5,5,5,4,5,5
